,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
0,The Shining,R,Drama,1980,8.4,927000.0,Stanley Kubrick,Stephen King,Jack Nicholson,146.0,1980s,183.0,74.0,Warner Brothers
1,The Blue Lagoon,R,Adventure,1980,5.8,65000.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,104.0,1980s,229.0,18.0,Columbia Pictures
2,Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,1200000.0,Irvin Kershner,Leigh Brackett,Mark Hamill,124.0,1980s,2094.0,70.0,Luscasfilm
3,Airplane!,PG,Comedy,1980,7.7,221000.0,Jim Abrahams,Jim Abrahams,Robert Hays,88.0,1980s,325.0,14.0,Paramount Pictures
4,Caddyshack,R,Comedy,1980,7.3,108000.0,Harold Ramis,Brian Doyle-Murray,Chevy Chase,98.0,1980s,155.0,23.0,Orion Pictures
5,Friday the 13th,R,Horror,1980,6.4,123000.0,Sean S. Cunningham,Victor Miller,Betsy Palmer,95.0,1980s,155.0,2.0,Paramount Pictures
6,The Blues Brothers,R,Action,1980,7.9,188000.0,John Landis,Dan Aykroyd,John Belushi,133.0,1980s,448.0,105.0,Universal Pictures
7,Raging Bull,R,Biography,1980,8.2,330000.0,Martin Scorsese,Jake LaMotta,Robert De Niro,129.0,1980s,91.0,70.0,Chartoff-Winkler Productions
8,Superman II,PG,Action,1980,6.8,101000.0,Richard Lester,Jerry Siegel,Gene Hackman,127.0,1980s,421.0,210.0,Dovemead Films
9,The Long Riders,R,Biography,1980,7.0,10000.0,Walter Hill,Bill Bryden,David Carradine,100.0,1980s,61.0,39.0,United Artists
10,Any Which Way You Can,PG,Action,1980,6.1,18000.0,Buddy Van Horn,Stanford Sherman,Clint Eastwood,116.0,1980s,275.0,58.0,The Malpaso Company
11,The Gods Must Be Crazy,PG,Adventure,1980,7.3,54000.0,Jamie Uys,Jamie Uys,N!xau,109.0,1980s,117.0,19.0,C.A.T. Films
12,Popeye,PG,Adventure,1980,5.3,30000.0,Robert Altman,Jules Feiffer,Robin Williams,114.0,1980s,194.0,78.0,Paramount Pictures
13,Ordinary People,R,Drama,1980,7.7,49000.0,Robert Redford,Judith Guest,Donald Sutherland,124.0,1980s,213.0,23.0,Paramount Pictures
14,Dressed to Kill,R,Crime,1980,7.1,37000.0,Brian De Palma,Brian De Palma,Michael Caine,104.0,1980s,124.0,25.0,Filmways Pictures
15,Somewhere in Time,PG,Drama,1980,7.2,27000.0,Jeannot Szwarc,Richard Matheson,Christopher Reeve,103.0,1980s,38.0,20.0,Rastar Pictures
17,9 to 5,PG,Comedy,1980,6.9,29000.0,Colin Higgins,Patricia Resnick,Jane Fonda,109.0,1980s,402.0,39.0,IPC Films
18,The Fog,R,Horror,1980,6.8,66000.0,John Carpenter,John Carpenter,Adrienne Barbeau,89.0,1980s,83.0,4.0,Embassy
20,Cruising,R,Crime,1980,6.5,20000.0,William Friedkin,William Friedkin,Al Pacino,102.0,1980s,77.0,43.0,Lorimar Film Entertainment
21,Heaven's Gate,R,Adventure,1980,6.8,14000.0,Michael Cimino,Michael Cimino,Kris Kristofferson,219.0,1980s,14.0,171.0,Partisan Productions
22,The Final Countdown,PG,Action,1980,6.7,22000.0,Don Taylor,Thomas Hunter,Kirk Douglas,103.0,1980s,65.0,47.0,Bryna Productions
23,Xanadu,PG,Fantasy,1980,5.3,12000.0,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,96.0,1980s,89.0,78.0,Universal Pictures
28,Brubaker,R,Crime,1980,7.2,17000.0,Stuart Rosenberg,W.D. Richter,Robert Redford,131.0,1980s,144.0,35.0,Twentieth Century Fox
